day,app,minutes,pickups
2025-01-19,Mail,92,5
2025-01-19,Maps,32,3
2025-01-19,Photos,50,17
2025-01-19,Slack,131,19
2025-01-19,Spotify,26,17
2025-01-20,Mail,117,31
2025-01-20,Photos,53,32
2025-01-20,Spotify,129,36
2025-01-20,Kindle,3,38
2025-01-21,Messages,37,1
2025-01-21,Safari,58,1
2025-01-21,Mail,59,20
2025-01-21,Maps,98,37
2025-01-21,Spotify,116,15
2025-01-21,Kindle,55,39
2025-01-22,Messages,92,27
2025-01-22,Safari,144,7
2025-01-22,Slack,16,1
2025-01-22,Spotify,27,15
2025-01-22,Kindle,99,13
2025-01-23,Messages,77,38
2025-01-23,Mail,68,8
2025-01-23,Maps,144,8
2025-01-23,Photos,12,25
2025-01-23,Slack,117,3
2025-01-23,Kindle,94,5
2025-01-24,Messages,137,15
2025-01-24,Safari,120,10
2025-01-24,Maps,85,33
2025-01-24,Slack,22,34
2025-01-24,Spotify,8,27
2025-01-24,Kindle,19,21
2025-01-25,Messages,51,39
2025-01-25,Safari,65,25
2025-01-25,Mail,128,1
2025-01-25,Maps,26,18
2025-01-25,Photos,129,35
2025-01-25,Slack,55,39
2025-01-25,Kindle,101,16
2025-01-26,Messages,112,29
2025-01-26,Maps,119,1
2025-01-26,Slack,21,21
2025-01-26,Spotify,119,10
2025-01-26,Kindle,33,35
2025-01-27,Safari,28,8
2025-01-27,Mail,69,15
2025-01-27,Maps,70,38
2025-01-27,Kindle,74,4
2025-01-28,Messages,43,3
2025-01-28,Safari,66,4
2025-01-28,Mail,82,9
2025-01-28,Slack,17,11
2025-01-28,Spotify,29,5
2025-01-28,Kindle,81,15
2025-01-29,Messages,138,33
2025-01-29,Safari,69,33
2025-01-29,Mail,23,28
2025-01-29,Photos,25,37
2025-01-29,Slack,61,4
2025-01-29,Spotify,8,36
2025-01-29,Kindle,45,3
2025-01-30,Messages,88,23
2025-01-30,Mail,60,8
2025-01-30,Photos,144,36
2025-01-30,Slack,12,1
2025-01-30,Spotify,49,18
2025-01-30,Kindle,20,29
2025-01-31,Messages,12,28
2025-01-31,Safari,121,26
2025-01-31,Mail,112,23
2025-01-31,Slack,55,26
2025-02-01,Messages,74,32
2025-02-01,Safari,32,19
2025-02-01,Mail,35,7
2025-02-02,Safari,93,37
2025-02-02,Mail,2,25
2025-02-02,Spotify,140,18
2025-02-02,Kindle,76,18
2025-02-03,Mail,120,13
2025-02-03,Slack,61,27
2025-02-03,Spotify,72,24
2025-02-04,Messages,141,36
2025-02-04,Mail,62,2
2025-02-04,Maps,14,5
2025-02-04,Slack,121,6
2025-02-04,Kindle,141,22
2025-02-05,Messages,87,22
2025-02-05,Safari,33,20
2025-02-05,Maps,55,9
2025-02-05,Photos,53,5
2025-02-05,Slack,118,21
2025-02-05,Kindle,49,12
2025-02-06,Messages,103,39
2025-02-06,Safari,119,3
2025-02-06,Mail,128,2
2025-02-06,Photos,39,5
2025-02-06,Slack,142,13
2025-02-06,Spotify,83,24
2025-02-06,Kindle,140,15
2025-02-07,Maps,30,37
2025-02-07,Slack,38,4
2025-02-07,Kindle,56,15
2025-02-08,Mail,102,40
2025-02-08,Maps,114,19
2025-02-08,Photos,61,1
2025-02-08,Slack,81,31
2025-02-08,Kindle,142,26
2025-02-09,Messages,129,28
2025-02-09,Maps,141,17
2025-02-09,Photos,117,27
2025-02-09,Slack,135,22
2025-02-09,Spotify,37,5
2025-02-10,Messages,113,40
2025-02-10,Safari,123,22
2025-02-10,Mail,56,38
2025-02-10,Maps,75,31
2025-02-10,Photos,132,32
2025-02-10,Spotify,3,37
2025-02-10,Kindle,129,4
2025-02-11,Messages,83,27
2025-02-11,Photos,52,7
2025-02-11,Slack,18,21
2025-02-11,Spotify,12,32
2025-02-11,Kindle,65,9
2025-02-12,Mail,122,36
2025-02-12,Photos,127,37
2025-02-12,Spotify,55,22
2025-02-12,Kindle,84,17
2025-02-13,Messages,121,17
2025-02-13,Safari,8,32
2025-02-13,Maps,121,31
2025-02-13,Photos,20,38
2025-02-13,Slack,122,11
2025-02-13,Spotify,41,34
2025-02-13,Kindle,46,19
2025-02-14,Messages,120,31
2025-02-14,Safari,33,36
2025-02-14,Mail,76,18
2025-02-14,Maps,14,6
2025-02-14,Photos,47,13
2025-02-14,Slack,102,29
2025-02-14,Kindle,2,35
2025-02-15,Messages,107,7
2025-02-15,Maps,49,4
2025-02-15,Slack,80,2
2025-02-15,Spotify,21,38
2025-02-16,Safari,23,12
2025-02-16,Mail,100,4
2025-02-16,Maps,56,4
2025-02-16,Photos,19,30
2025-02-16,Slack,136,29
2025-02-16,Spotify,23,30
2025-02-17,Mail,26,4
2025-02-17,Maps,35,14
2025-02-17,Photos,5,27
2025-02-17,Kindle,83,8
2025-02-18,Messages,102,8
2025-02-18,Safari,62,35
2025-02-18,Mail,47,8
2025-02-18,Maps,42,37
2025-02-18,Photos,58,20
2025-02-18,Slack,13,4
2025-02-18,Spotify,31,13
2025-02-18,Kindle,82,15
2025-02-19,Messages,145,22
2025-02-19,Mail,29,8
2025-02-19,Maps,53,9
2025-02-19,Photos,111,22
2025-02-19,Slack,103,34
2025-02-19,Spotify,80,32
2025-02-19,Kindle,40,35
2025-02-20,Messages,81,16
2025-02-20,Safari,54,14
2025-02-20,Maps,67,30
2025-02-20,Spotify,61,19
2025-02-21,Safari,78,6
2025-02-21,Mail,117,28
2025-02-21,Maps,101,21
2025-02-21,Photos,25,35
2025-02-21,Slack,5,15
2025-02-22,Safari,68,7
2025-02-22,Mail,22,9
2025-02-22,Maps,108,5
2025-02-22,Photos,73,16
2025-02-22,Slack,26,21
2025-02-22,Kindle,78,36
2025-02-23,Mail,79,8
2025-02-23,Maps,61,23
2025-02-23,Photos,90,6
2025-02-23,Slack,9,27
2025-02-24,Safari,134,30
2025-02-24,Maps,51,37
2025-02-24,Photos,2,7
2025-02-24,Spotify,142,23
2025-02-24,Kindle,89,39
2025-02-25,Messages,28,22
2025-02-25,Slack,104,18
2025-02-25,Spotify,106,29
2025-02-26,Messages,145,22
2025-02-26,Safari,9,8
2025-02-26,Photos,33,25
2025-02-26,Slack,23,24
2025-02-26,Spotify,32,37
2025-02-26,Kindle,24,13
2025-02-27,Messages,88,4
2025-02-27,Safari,94,20
2025-02-27,Maps,141,32
2025-02-27,Photos,120,17
2025-02-27,Slack,21,8
2025-02-27,Spotify,47,31
2025-02-27,Kindle,135,18
2025-02-28,Safari,87,32
2025-02-28,Mail,120,9
2025-02-28,Maps,11,18
2025-02-28,Photos,140,14
2025-02-28,Slack,89,25
2025-02-28,Spotify,91,37
2025-03-01,Messages,37,22
2025-03-01,Safari,109,31
2025-03-01,Photos,9,39
2025-03-01,Slack,60,39
2025-03-01,Spotify,109,6
2025-03-01,Kindle,52,2
2025-03-02,Messages,69,5
2025-03-02,Safari,58,26
2025-03-02,Mail,133,15
2025-03-02,Maps,47,3
2025-03-02,Photos,51,5
2025-03-02,Spotify,7,33
2025-03-02,Kindle,6,28
2025-03-03,Messages,65,22
2025-03-03,Safari,113,31
2025-03-03,Mail,12,8
2025-03-03,Maps,144,21
2025-03-03,Photos,45,35
2025-03-03,Spotify,71,15
2025-03-03,Kindle,46,2
2025-03-04,Messages,14,27
2025-03-04,Safari,50,37
2025-03-04,Mail,139,27
2025-03-04,Photos,89,7
2025-03-04,Spotify,87,8
2025-03-05,Messages,9,32
2025-03-05,Mail,42,16
2025-03-05,Maps,31,4
2025-03-05,Photos,88,19
2025-03-05,Slack,47,40
2025-03-05,Spotify,98,24
2025-03-05,Kindle,56,36
2025-03-06,Messages,109,5
2025-03-06,Mail,80,19
2025-03-06,Maps,107,9
2025-03-06,Photos,129,2
2025-03-06,Slack,128,27
2025-03-06,Spotify,57,6
2025-03-06,Kindle,76,33
2025-03-07,Messages,13,35
2025-03-07,Mail,19,37
2025-03-07,Slack,19,14
2025-03-07,Spotify,70,6
2025-03-07,Kindle,40,4
2025-03-08,Maps,4,16
2025-03-08,Slack,15,9
2025-03-08,Spotify,80,4
2025-03-09,Messages,58,37
2025-03-09,Mail,9,33
2025-03-09,Photos,33,40
2025-03-09,Slack,104,40
2025-03-09,Spotify,8,13
2025-03-09,Kindle,104,3
2025-03-10,Messages,43,9
2025-03-10,Safari,28,30
2025-03-10,Mail,141,39
2025-03-10,Maps,134,26
2025-03-10,Photos,19,32
2025-03-10,Kindle,138,17
2025-03-11,Mail,52,28
2025-03-11,Maps,120,2
2025-03-11,Photos,110,22
2025-03-11,Slack,64,23
2025-03-11,Spotify,13,25
2025-03-11,Kindle,47,30
2025-03-12,Messages,66,39
2025-03-12,Mail,118,37
2025-03-12,Maps,33,18
2025-03-12,Photos,52,38
2025-03-12,Slack,93,10
2025-03-12,Spotify,125,22
2025-03-13,Messages,69,39
2025-03-13,Safari,6,26
2025-03-13,Mail,65,11
2025-03-13,Slack,41,13
2025-03-13,Kindle,82,30
2025-03-14,Safari,52,35
2025-03-14,Mail,42,7
2025-03-14,Maps,29,29
2025-03-14,Photos,32,23
2025-03-14,Spotify,64,19
2025-03-15,Messages,96,14
2025-03-15,Safari,18,32
2025-03-15,Mail,74,31
2025-03-15,Photos,37,19
2025-03-15,Spotify,123,2
2025-03-16,Mail,24,22
2025-03-16,Photos,117,37
2025-03-16,Slack,122,12
2025-03-16,Spotify,141,16
2025-03-16,Kindle,21,2
2025-03-17,Messages,96,11
2025-03-17,Safari,144,34
2025-03-17,Maps,14,30
2025-03-17,Photos,41,14
2025-03-17,Slack,129,34
2025-03-17,Kindle,43,30
2025-03-18,Messages,145,20
2025-03-18,Safari,82,30
2025-03-18,Maps,48,17
2025-03-18,Slack,61,10
2025-03-18,Kindle,43,31
2025-03-19,Messages,131,26
2025-03-19,Safari,89,1
2025-03-19,Mail,21,7
2025-03-19,Maps,70,20
2025-03-19,Slack,12,31
2025-03-19,Spotify,8,39
2025-03-19,Kindle,69,4
2025-03-20,Messages,133,29
2025-03-20,Safari,25,35
2025-03-20,Mail,57,30
2025-03-20,Maps,92,20
2025-03-20,Slack,86,24
2025-03-20,Spotify,24,12
2025-03-21,Messages,29,40
2025-03-21,Safari,141,2
2025-03-21,Maps,70,11
2025-03-21,Photos,36,23
2025-03-21,Spotify,134,18
2025-03-21,Kindle,66,13
2025-03-22,Messages,42,33
2025-03-22,Mail,116,1
2025-03-22,Photos,134,34
2025-03-22,Kindle,77,21
2025-03-23,Messages,35,7
2025-03-23,Maps,78,16
2025-03-23,Photos,40,28
2025-03-23,Slack,41,3
2025-03-23,Spotify,30,18
2025-03-24,Safari,43,1
2025-03-24,Photos,99,26
2025-03-24,Slack,107,30
2025-03-24,Spotify,25,34
2025-03-24,Kindle,136,1
2025-03-25,Messages,84,11
2025-03-25,Safari,44,6
2025-03-25,Maps,85,30
2025-03-25,Photos,58,14
2025-03-25,Kindle,72,29
2025-03-26,Messages,42,31
2025-03-26,Slack,118,15
2025-03-26,Spotify,124,13
2025-03-26,Kindle,36,20
2025-03-27,Photos,53,34
2025-03-27,Slack,36,40
2025-03-27,Kindle,11,11
2025-03-28,Messages,108,16
2025-03-28,Safari,63,38
2025-03-28,Mail,131,25
2025-03-28,Maps,9,25
2025-03-28,Slack,110,14
2025-03-28,Spotify,31,23
2025-03-28,Kindle,16,18
2025-03-29,Safari,33,27
2025-03-29,Mail,18,30
2025-03-29,Maps,78,32
2025-03-29,Photos,105,6
2025-03-29,Slack,112,40
2025-03-29,Kindle,33,35
2025-03-30,Messages,4,20
2025-03-30,Safari,130,3
2025-03-30,Mail,111,36
2025-03-30,Maps,49,29
2025-03-30,Photos,2,22
2025-03-30,Slack,79,9
2025-03-30,Spotify,88,25
2025-03-31,Messages,119,16
2025-03-31,Safari,16,9
2025-03-31,Mail,46,25
2025-03-31,Maps,108,25
2025-03-31,Photos,86,15
2025-03-31,Spotify,66,27
2025-03-31,Kindle,142,22
2025-04-01,Messages,3,25
2025-04-01,Mail,44,20
2025-04-01,Maps,30,38
2025-04-01,Slack,125,5
2025-04-01,Kindle,81,32
2025-04-02,Safari,82,18
2025-04-02,Mail,18,2
2025-04-02,Slack,10,26
2025-04-02,Kindle,79,1
2025-04-03,Safari,42,3
2025-04-03,Mail,42,38
2025-04-03,Maps,89,11
2025-04-03,Slack,110,23
2025-04-03,Spotify,64,35
2025-04-04,Messages,34,39
2025-04-04,Mail,2,23
2025-04-04,Maps,78,13
2025-04-04,Photos,114,6
2025-04-04,Slack,71,36
2025-04-04,Spotify,12,38
2025-04-04,Kindle,55,34
2025-04-05,Messages,13,33
2025-04-05,Safari,104,23
2025-04-05,Mail,98,1
2025-04-05,Maps,121,1
2025-04-05,Photos,136,35
2025-04-05,Slack,143,35
2025-04-05,Spotify,107,36
2025-04-05,Kindle,84,8
2025-04-06,Messages,119,10
2025-04-06,Mail,74,14
2025-04-06,Photos,34,28
2025-04-06,Slack,142,8
2025-04-06,Spotify,124,28
2025-04-06,Kindle,101,40
2025-04-07,Messages,6,30
2025-04-07,Safari,127,21
2025-04-07,Maps,134,12
2025-04-07,Photos,143,11
2025-04-07,Slack,49,26
2025-04-07,Spotify,134,27
2025-04-07,Kindle,124,33
2025-04-08,Messages,4,12
2025-04-08,Safari,108,21
2025-04-08,Photos,38,32
2025-04-08,Spotify,23,13
2025-04-08,Kindle,15,36
2025-04-09,Messages,47,3
2025-04-09,Safari,87,19
2025-04-09,Maps,92,39
2025-04-09,Photos,58,39
2025-04-09,Slack,22,27
2025-04-10,Photos,16,1
2025-04-10,Slack,10,2
2025-04-10,Spotify,90,37
2025-04-10,Kindle,142,26
2025-04-11,Mail,91,36
2025-04-11,Maps,15,10
2025-04-11,Slack,66,27
2025-04-11,Kindle,15,14
2025-04-12,Messages,138,17
2025-04-12,Safari,76,32
2025-04-12,Mail,98,37
2025-04-12,Maps,5,2
2025-04-12,Photos,30,13
2025-04-12,Slack,4,7
2025-04-12,Spotify,112,39
2025-04-13,Messages,128,14
2025-04-13,Safari,103,26
2025-04-13,Mail,19,3
2025-04-13,Maps,131,30
2025-04-13,Photos,118,37
2025-04-13,Spotify,12,2
2025-04-13,Kindle,85,20
2025-04-14,Messages,41,37
2025-04-14,Safari,94,5
2025-04-14,Mail,73,14
2025-04-14,Photos,69,14
2025-04-14,Slack,56,9
2025-04-14,Spotify,58,13
2025-04-14,Kindle,103,21
2025-04-15,Messages,8,20
2025-04-15,Safari,44,6
2025-04-15,Maps,56,31
2025-04-15,Slack,43,8
2025-04-15,Spotify,44,30
2025-04-15,Kindle,23,32
2025-04-16,Messages,82,12
2025-04-16,Safari,15,25
2025-04-16,Mail,53,16
2025-04-16,Maps,53,16
2025-04-16,Photos,100,23
2025-04-17,Safari,122,2
2025-04-17,Mail,30,15
2025-04-17,Photos,17,32
2025-04-17,Slack,87,29
2025-04-17,Spotify,10,1
2025-04-17,Kindle,96,12
2025-04-18,Messages,53,6
2025-04-18,Safari,106,20
2025-04-18,Maps,67,17
2025-04-18,Photos,78,11
2025-04-18,Spotify,30,24
2025-04-18,Kindle,43,17
2025-04-19,Messages,131,1
2025-04-19,Safari,106,5
2025-04-19,Mail,24,8
2025-04-19,Photos,16,3
2025-04-19,Slack,71,35
2025-04-19,Spotify,61,21
2025-04-20,Safari,6,16
2025-04-20,Mail,78,38
2025-04-20,Maps,21,26
2025-04-20,Photos,9,2
2025-04-20,Spotify,59,11
2025-04-20,Kindle,144,24
2025-04-21,Safari,133,22
2025-04-21,Mail,25,25
2025-04-21,Photos,52,1
2025-04-21,Slack,39,15
2025-04-21,Kindle,114,29
2025-04-22,Messages,60,17
2025-04-22,Safari,54,19
2025-04-22,Photos,128,10
2025-04-22,Kindle,15,24
2025-04-23,Messages,27,22
2025-04-23,Safari,29,9
2025-04-23,Mail,67,26
2025-04-23,Maps,21,12
2025-04-23,Spotify,50,39
2025-04-24,Messages,117,9
2025-04-24,Maps,115,30
2025-04-24,Photos,97,5
2025-04-24,Slack,16,28
2025-04-24,Kindle,86,13
2025-04-25,Messages,27,6
2025-04-25,Safari,90,23
2025-04-25,Mail,142,25
2025-04-25,Maps,11,26
2025-04-25,Photos,82,4
2025-04-25,Slack,51,28
2025-04-25,Spotify,19,31
2025-04-26,Mail,33,35
2025-04-26,Maps,13,4
2025-04-26,Photos,5,24
2025-04-26,Slack,30,10
2025-04-26,Spotify,78,13
2025-04-27,Messages,121,32
2025-04-27,Mail,9,20
2025-04-27,Photos,93,22
2025-04-27,Spotify,93,14
2025-04-27,Kindle,91,6
2025-04-28,Messages,94,16
2025-04-28,Safari,82,23
2025-04-28,Mail,124,5
2025-04-28,Maps,66,35
2025-04-28,Photos,17,8
2025-04-28,Slack,27,5
2025-04-28,Spotify,65,3
2025-04-29,Messages,106,36
2025-04-29,Mail,108,24
2025-04-29,Maps,108,6
2025-04-29,Photos,14,20
2025-04-29,Slack,42,7
2025-04-29,Spotify,89,23
2025-04-29,Kindle,20,31
2025-04-30,Messages,98,30
2025-04-30,Maps,70,14
2025-04-30,Photos,10,21
2025-04-30,Spotify,16,11
2025-04-30,Kindle,107,8
2025-05-01,Messages,66,22
2025-05-01,Safari,123,3
2025-05-01,Photos,130,36
2025-05-01,Slack,57,8
2025-05-01,Spotify,99,8
2025-05-02,Safari,111,1
2025-05-02,Mail,53,21
2025-05-02,Photos,25,26
2025-05-02,Slack,14,39
2025-05-02,Spotify,15,10
2025-05-02,Kindle,31,4
2025-05-03,Messages,102,23
2025-05-03,Safari,128,13
2025-05-03,Mail,47,5
2025-05-03,Maps,70,9
2025-05-03,Slack,138,7
2025-05-03,Spotify,114,25
2025-05-03,Kindle,32,21
2025-05-04,Messages,90,13
2025-05-04,Mail,88,3
2025-05-04,Maps,18,24
2025-05-04,Photos,64,8
2025-05-04,Slack,104,3
2025-05-04,Spotify,24,35
2025-05-04,Kindle,125,24
2025-05-05,Messages,91,14
2025-05-05,Photos,98,25
2025-05-05,Slack,140,4
2025-05-05,Spotify,53,31
2025-05-06,Safari,91,29
2025-05-06,Slack,113,16
2025-05-06,Spotify,72,16
2025-05-06,Kindle,61,27
2025-05-07,Messages,139,12
2025-05-07,Mail,118,33
2025-05-07,Photos,6,13
2025-05-07,Spotify,56,20
2025-05-07,Kindle,5,27
2025-05-08,Safari,119,10
2025-05-08,Mail,112,22
2025-05-08,Maps,145,37
2025-05-08,Photos,12,9
2025-05-08,Slack,87,33
2025-05-09,Messages,123,37
2025-05-09,Safari,33,8
2025-05-09,Maps,55,21
2025-05-09,Photos,51,31
2025-05-09,Slack,31,35
2025-05-09,Spotify,7,22
2025-05-10,Mail,62,32
2025-05-10,Maps,109,1
2025-05-10,Photos,22,29
2025-05-10,Spotify,5,1
2025-05-10,Kindle,63,10
2025-05-11,Messages,117,28
2025-05-11,Safari,109,27
2025-05-11,Mail,38,9
2025-05-11,Maps,34,2
2025-05-11,Photos,86,10
2025-05-11,Spotify,115,22
2025-05-11,Kindle,54,29
2025-05-12,Messages,108,31
2025-05-12,Safari,13,29
2025-05-12,Mail,21,28
2025-05-12,Slack,73,16
2025-05-12,Kindle,118,11
2025-05-13,Messages,32,11
2025-05-13,Mail,144,38
2025-05-13,Maps,97,28
2025-05-13,Spotify,95,14
2025-05-13,Kindle,108,20
2025-05-14,Safari,65,23
2025-05-14,Maps,39,13
2025-05-14,Spotify,67,20
2025-05-14,Kindle,61,17
2025-05-15,Messages,118,14
2025-05-15,Safari,27,20
2025-05-15,Mail,54,13
2025-05-15,Maps,92,9
2025-05-15,Photos,82,26
2025-05-15,Slack,111,23
2025-05-15,Kindle,103,23
2025-05-16,Safari,100,4
2025-05-16,Mail,27,25
2025-05-16,Maps,63,19
2025-05-16,Photos,98,24
2025-05-16,Slack,33,5
2025-05-16,Spotify,136,24
2025-05-16,Kindle,144,28
2025-05-17,Mail,103,33
2025-05-17,Photos,98,15
2025-05-17,Slack,103,24
2025-05-17,Kindle,113,17
2025-05-18,Messages,139,24
2025-05-18,Safari,34,13
2025-05-18,Mail,10,22
2025-05-18,Maps,132,21
2025-05-18,Slack,52,1
2025-05-18,Kindle,128,26
2025-05-19,Messages,76,8
2025-05-19,Safari,67,7
2025-05-19,Mail,21,19
2025-05-19,Slack,103,30
2025-05-19,Spotify,71,31
2025-05-19,Kindle,23,30
2025-05-20,Safari,126,23
2025-05-20,Mail,134,15
2025-05-20,Photos,109,37
2025-05-20,Spotify,124,23
2025-05-20,Kindle,31,26
2025-05-21,Safari,76,35
2025-05-21,Mail,23,25
2025-05-21,Slack,125,32
2025-05-21,Spotify,49,31
2025-05-21,Kindle,131,16
2025-05-22,Messages,99,9
2025-05-22,Mail,85,33
2025-05-22,Maps,97,14
2025-05-22,Photos,54,40
2025-05-22,Spotify,66,38
2025-05-22,Kindle,35,8
2025-05-23,Messages,81,31
2025-05-23,Safari,39,19
2025-05-23,Mail,110,5
2025-05-23,Maps,113,32
2025-05-23,Photos,109,29
2025-05-23,Slack,44,14
2025-05-23,Spotify,82,34
2025-05-23,Kindle,35,36
2025-05-24,Messages,39,38
2025-05-24,Safari,141,29
2025-05-24,Mail,53,36
2025-05-24,Maps,67,34
2025-05-24,Slack,59,27
2025-05-24,Spotify,44,28
2025-05-24,Kindle,17,14
2025-05-25,Safari,104,27
2025-05-25,Mail,55,29
2025-05-25,Maps,94,39
2025-05-25,Slack,131,38
2025-05-25,Kindle,135,3
2025-05-26,Messages,46,6
2025-05-26,Maps,111,1
2025-05-26,Slack,78,27
2025-05-26,Spotify,75,9
2025-05-26,Kindle,124,39
2025-05-27,Messages,54,14
2025-05-27,Safari,44,39
2025-05-27,Mail,108,35
2025-05-27,Maps,19,29
2025-05-27,Photos,136,8
2025-05-27,Slack,62,28
2025-05-27,Spotify,103,30
2025-05-27,Kindle,10,24
2025-05-28,Messages,81,40
2025-05-28,Maps,130,35
2025-05-28,Photos,14,17
2025-05-28,Slack,3,32
2025-05-28,Spotify,75,30
2025-05-28,Kindle,5,10
2025-05-29,Messages,58,6
2025-05-29,Mail,97,32
2025-05-29,Kindle,142,29
2025-05-30,Mail,85,24
2025-05-30,Slack,11,30
2025-05-31,Messages,126,40
2025-05-31,Safari,81,24
2025-05-31,Photos,21,36
2025-05-31,Slack,44,4
2025-05-31,Spotify,135,12
2025-05-31,Kindle,90,14
2025-06-01,Messages,35,27
2025-06-01,Safari,30,1
2025-06-01,Mail,43,33
2025-06-01,Spotify,8,5
2025-06-01,Kindle,71,35
2025-06-02,Messages,124,11
2025-06-02,Mail,56,28
2025-06-02,Photos,51,14
2025-06-02,Slack,52,12
2025-06-02,Spotify,63,34
2025-06-02,Kindle,117,13
2025-06-03,Messages,54,1
2025-06-03,Safari,45,6
2025-06-03,Maps,109,34
2025-06-03,Photos,108,1
2025-06-03,Slack,20,28
2025-06-03,Spotify,15,28
2025-06-03,Kindle,87,26
2025-06-04,Messages,43,40
2025-06-04,Maps,16,40
2025-06-04,Photos,96,9
2025-06-04,Slack,102,23
2025-06-04,Spotify,75,13
2025-06-04,Kindle,96,19
2025-06-05,Safari,122,17
2025-06-05,Mail,24,28
2025-06-05,Photos,107,22
2025-06-05,Slack,107,18
2025-06-05,Kindle,88,9
2025-06-06,Mail,59,10
2025-06-06,Maps,29,32
2025-06-06,Spotify,108,4
2025-06-06,Kindle,128,33
2025-06-07,Safari,89,12
2025-06-07,Mail,97,22
2025-06-07,Photos,20,24
2025-06-07,Slack,84,22
2025-06-07,Kindle,23,17
2025-06-08,Safari,23,20
2025-06-08,Mail,83,35
2025-06-08,Photos,10,27
2025-06-08,Slack,50,20
2025-06-08,Spotify,117,12
2025-06-09,Mail,37,9
2025-06-09,Slack,96,36
2025-06-09,Spotify,52,35
2025-06-09,Kindle,69,40
2025-06-10,Messages,58,30
2025-06-10,Safari,93,3
2025-06-10,Maps,76,15
2025-06-10,Photos,127,33
2025-06-10,Slack,60,35
2025-06-10,Spotify,14,2
2025-06-10,Kindle,110,18
2025-06-11,Safari,21,34
2025-06-11,Photos,35,20
2025-06-11,Slack,110,2
2025-06-11,Spotify,105,36
2025-06-11,Kindle,122,37
2025-06-12,Messages,39,39
2025-06-12,Mail,35,23
2025-06-12,Photos,80,38
2025-06-12,Spotify,31,31
2025-06-12,Kindle,57,7
2025-06-13,Messages,32,34
2025-06-13,Safari,103,25
2025-06-13,Maps,138,31
2025-06-13,Photos,67,26
2025-06-13,Slack,101,28
2025-06-13,Spotify,94,33
2025-06-14,Messages,122,7
2025-06-14,Safari,117,31
2025-06-14,Maps,43,28
2025-06-14,Photos,136,2
2025-06-14,Slack,32,36
2025-06-14,Kindle,127,3
2025-06-15,Messages,123,31
