day,hours,quality,restless_min
2025-04-19,5.3,great,29
2025-04-20,7.7,great,53
2025-04-21,5.2,good,31
2025-04-22,5.2,fair,43
2025-04-23,4.5,good,2
2025-04-24,7,good,39
2025-04-25,4.4,great,21
2025-04-27,6.2,fair,62
2025-04-28,6.8,poor,32
2025-04-30,8.4,poor,23
2025-05-01,9.1,poor,23
2025-05-02,5.1,poor,10
2025-05-03,5.2,fair,30
2025-05-06,6.8,great,63
2025-05-07,7.5,fair,64
2025-05-08,9.2,poor,11
2025-05-09,7.4,fair,56
2025-05-10,7.5,great,69
2025-05-11,9.1,fair,50
2025-05-12,8.3,poor,26
2025-05-13,8.3,poor,63
2025-05-14,4.8,good,34
2025-05-16,7.6,fair,69
2025-05-17,9,poor,44
2025-05-19,8.5,poor,53
2025-05-21,6.8,fair,24
2025-05-22,5.3,fair,39
2025-05-23,7.2,great,47
2025-05-24,4.7,good,2
2025-05-25,8.7,great,62
2025-05-26,4.3,great,37
2025-05-27,8.9,fair,54
2025-05-28,5.9,great,69
2025-05-29,7.6,good,51
2025-05-30,9.1,great,12
2025-05-31,4.6,fair,64
2025-06-01,4.3,poor,11
2025-06-02,7.4,fair,36
2025-06-03,6.1,poor,22
2025-06-04,8.2,poor,44
2025-06-05,5.3,great,70
2025-06-06,6.8,great,24
2025-06-08,9.1,poor,50
2025-06-09,6.4,great,36
2025-06-10,4.5,good,8
2025-06-11,8.1,good,12
2025-06-12,6.6,poor,26
2025-06-13,4.7,great,17
2025-06-14,5.8,good,27
2025-06-15,6.1,good,5
2025-06-16,4.4,good,26
2025-06-17,8.7,great,23
2025-06-18,8.8,fair,36
2025-06-19,9.4,poor,41
2025-06-20,6.5,good,69
2025-06-21,4.7,great,42
2025-06-22,8.7,good,62
2025-06-23,4.3,fair,63
2025-06-24,8.1,great,61
2025-06-25,8.3,poor,43
2025-06-26,8.8,great,37
2025-06-27,7.8,great,48
2025-06-28,5.2,poor,38
2025-06-30,9.4,good,48
2025-07-01,8.7,great,9
2025-07-02,4.8,fair,67
2025-07-04,8,good,16
2025-07-05,8.6,great,14
2025-07-06,4.7,good,36
2025-07-07,7.1,poor,2
2025-07-08,8.8,poor,58
2025-07-09,9.3,good,31
2025-07-10,5,poor,38
2025-07-11,4.8,fair,13
2025-07-12,9.3,fair,74
2025-07-13,5.6,good,21
2025-07-14,8,good,47
2025-07-16,5.3,great,74
2025-07-17,7.6,good,68
2025-07-18,6.5,poor,7
2025-07-19,8,great,42
2025-07-20,8.8,poor,11
2025-07-21,7.6,great,34
2025-07-22,9.3,fair,12
2025-07-23,6.4,poor,16
2025-07-24,4.4,good,56
2025-07-25,7.6,good,43
2025-07-26,9.4,poor,51
2025-07-27,5,good,9
2025-07-28,5.9,good,70
2025-07-29,7.8,great,30
2025-07-30,7.2,great,55
2025-07-31,7.5,fair,45
2025-08-01,8.7,good,39
2025-08-02,5.7,poor,36
2025-08-03,5.2,great,65
2025-08-04,4.7,fair,70
2025-08-05,9.1,poor,37
2025-08-06,8,fair,62
2025-08-08,7.6,fair,6
2025-08-09,6.8,good,35
2025-08-11,9.2,fair,71
2025-08-12,4.9,great,66
2025-08-13,5.2,good,47
2025-08-14,8.6,poor,5
2025-08-15,4.8,good,43
2025-08-16,6.4,fair,38
2025-08-17,4.6,good,63
2025-08-18,7.7,great,55
2025-08-19,8.5,fair,63
2025-08-20,9.4,poor,13
2025-08-21,7.2,good,68
2025-08-22,4.8,great,3
2025-08-23,4.5,good,51
2025-08-24,5.3,good,33
2025-08-25,6.4,fair,58
2025-08-26,5.3,great,71
2025-08-27,4.6,good,73
2025-08-28,8.4,fair,59
2025-08-29,5.4,poor,13
2025-08-30,6.1,great,38
2025-09-01,5.1,good,9
2025-09-02,6.1,good,21
2025-09-03,5.4,good,33
2025-09-04,4.5,fair,59
2025-09-05,8,fair,7
2025-09-06,6.4,poor,22
2025-09-08,4.4,poor,22
2025-09-09,9.4,good,9
2025-09-10,6.6,fair,49
2025-09-11,5.3,great,48
2025-09-12,4.8,great,0
2025-09-13,4.8,poor,21
2025-09-14,7.1,poor,42
2025-09-15,4.9,good,39
2025-09-16,4.9,poor,48
2025-09-17,4.5,poor,16
2025-09-19,5.7,poor,51
2025-09-20,5.4,poor,8
2025-09-21,7.4,poor,4
2025-09-22,9,good,51
2025-09-23,9.4,great,8
2025-09-24,7.7,good,35
2025-09-25,6.4,great,4
2025-09-26,9,great,36
2025-09-27,6.4,poor,6
2025-09-28,7.3,great,41
2025-09-29,5.2,fair,74
2025-09-30,4.4,fair,71
2025-10-01,9,good,4
2025-10-02,5.6,good,14
2025-10-03,8.2,great,15
2025-10-04,7.7,poor,27
2025-10-05,5.7,poor,40
2025-10-06,5.6,great,48
2025-10-07,6.3,fair,73
2025-10-08,6.1,fair,52
2025-10-09,7.7,good,26
2025-10-10,6.6,fair,39
2025-10-11,7.8,great,2
2025-10-12,6,poor,21
2025-10-13,7.5,poor,30
2025-10-15,7,poor,50
2025-10-17,5.8,poor,28
2025-10-18,8.5,good,33
2025-10-19,4.5,great,73
2025-10-21,6.7,fair,28
2025-10-22,4.4,poor,53
2025-10-23,5.7,good,70
2025-10-24,4.7,good,15
2025-10-25,6.5,fair,19
2025-10-26,9.3,poor,73
2025-10-27,6.1,poor,16
2025-10-28,9.3,fair,49
2025-10-29,5.1,poor,44
2025-10-30,7.2,good,38
2025-10-31,6.7,good,25
2025-11-01,4.8,good,69
2025-11-02,8.3,fair,35
2025-11-03,9.3,fair,11
2025-11-04,4.5,good,22
2025-11-05,8.6,poor,61
2025-11-06,7.4,great,38
2025-11-07,7.1,fair,14
2025-11-08,6.4,great,67
2025-11-09,8.2,fair,18
2025-11-11,8.5,great,49
2025-11-12,6,good,57
2025-11-13,8.9,great,54
2025-11-14,4.5,fair,38
2025-11-15,4.8,great,47
2025-11-16,4.3,fair,4
2025-11-17,6,great,28
2025-11-18,5.9,poor,4
2025-11-19,5.9,fair,32
2025-11-20,9,good,15
2025-11-22,6.3,fair,55
2025-11-23,4.4,great,15
2025-11-24,5.6,poor,30
2025-11-25,5.8,great,12
2025-11-26,7.7,good,68
2025-11-27,9.1,poor,57
2025-11-28,7.6,poor,58
2025-11-29,4.7,poor,44
2025-11-30,7,poor,61
2025-12-01,8.6,fair,34
2025-12-03,8.6,fair,10
2025-12-04,6.9,great,39
2025-12-05,4.6,poor,5
2025-12-06,8.9,great,16
2025-12-07,6.3,good,29
2025-12-08,7.7,poor,41
2025-12-09,8.2,good,9
2025-12-10,7.5,poor,28
2025-12-11,5.2,great,70
2025-12-12,6,fair,3
2025-12-13,7.2,fair,15
2025-12-14,6,good,49
2025-12-15,5.8,good,17
2025-12-16,7.5,fair,26
2025-12-17,8.9,poor,14
2025-12-18,8.5,great,33
2025-12-19,7.1,good,58
2025-12-20,5.2,poor,21
2025-12-21,4.7,great,55
2025-12-22,6.1,poor,62
2025-12-23,6.5,good,67
2025-12-25,7.9,good,2
2025-12-26,4.7,poor,46
2025-12-27,9.3,poor,52
2025-12-28,8.2,great,0
2025-12-29,4.7,fair,11
2025-12-30,6.3,good,19
2025-12-31,7,good,3
