day,item,qty,unit_price,total
2025-01-27,Za’atar,2,7.55,15.1
2025-01-28,Crème fraîche,1,6.5,6.5
2025-01-28,Açaí pulp,3,5.15,15.45
2025-01-28,Smörgås crispbread,2,8.65,17.3
2025-01-28,"Oat milk, barista",1,5.9,5.9
2025-02-01,"Oat milk, barista",1,10.73,10.73
2025-02-01,Za’atar,3,7.2,21.6
2025-02-03,Jalapeño peppers,1,11.19,11.19
2025-02-03,Crème fraîche,1,7.17,7.17
2025-02-03,"Gruyère, aged",4,4.35,17.4
2025-02-05,Smörgås crispbread,4,6.54,26.16
2025-02-11,Za’atar,4,10.38,41.52
2025-02-11,"Oat milk, barista",4,8.23,32.92
2025-02-11,Jalapeño peppers,1,7.22,7.22
2025-02-13,"Sourdough, seeded",2,10.69,21.38
2025-02-13,Jalapeño peppers,2,5.85,11.7
2025-02-13,Smörgås crispbread,4,7.05,28.2
2025-02-13,"Gruyère, aged",1,0.94,0.94
2025-02-13,Chèvre,2,9.24,18.48
2025-02-16,"Café beans, whole",4,6.6,26.4
2025-02-16,"Sourdough, seeded",1,8.27,8.27
2025-02-16,"Gruyère, aged",4,4.07,16.28
2025-02-17,"Gruyère, aged",3,3.7,11.1
2025-02-17,Crème fraîche,3,1.65,4.95
2025-02-19,"Gruyère, aged",3,11.16,33.48
2025-02-19,Chèvre,4,10.98,43.92
2025-02-19,"Gruyère, aged",4,1.56,6.24
2025-02-20,"Oat milk, barista",2,4.72,9.44
2025-02-20,Smörgås crispbread,4,3.89,15.56
2025-02-20,Crème fraîche,2,4.29,8.58
2025-02-20,Açaí pulp,2,10.78,21.56
2025-02-20,Jalapeño peppers,4,4.06,16.24
2025-02-22,"Sourdough, seeded",2,8.21,16.42
2025-02-24,Jalapeño peppers,1,11.96,11.96
2025-02-28,Açaí pulp,4,7.74,30.96
2025-02-28,"Sourdough, seeded",1,11.32,11.32
2025-02-28,Chèvre,3,3.89,11.67
2025-02-28,Za’atar,2,4.68,9.36
2025-03-03,"Sourdough, seeded",4,5.49,21.96
2025-03-03,Za’atar,1,6.96,6.96
2025-03-05,Crème fraîche,4,8.37,33.48
2025-03-05,"Café beans, whole",1,7.8,7.8
2025-03-05,"Gruyère, aged",1,1.88,1.88
2025-03-06,Smörgås crispbread,4,7.45,29.8
2025-03-10,"Café beans, whole",4,9.28,37.12
2025-03-10,Za’atar,3,4.42,13.26
2025-03-10,"Café beans, whole",4,10.38,41.52
2025-03-10,Smörgås crispbread,3,3.58,10.74
2025-03-11,Crème fraîche,4,9.09,36.36
2025-03-11,"Oat milk, barista",1,1.95,1.95
2025-03-11,Açaí pulp,4,4.29,17.16
2025-03-15,Smörgås crispbread,2,2.15,4.3
2025-03-15,"Café beans, whole",2,9.3,18.6
2025-03-15,"Oat milk, barista",3,2.14,6.42
2025-03-15,Açaí pulp,2,12.44,24.88
2025-03-15,Crème fraîche,4,11.22,44.88
2025-03-22,Crème fraîche,3,5.88,17.64
2025-03-22,"Café beans, whole",4,8.97,35.88
2025-03-22,Chèvre,2,9.6,19.2
2025-03-25,"Gruyère, aged",4,11.21,44.84
2025-03-25,Açaí pulp,4,6.24,24.96
2025-03-25,Açaí pulp,4,3.96,15.84
2025-03-25,Açaí pulp,3,8.7,26.1
2025-03-26,Crème fraîche,2,4.49,8.98
2025-03-27,Smörgås crispbread,1,7.66,7.66
2025-03-29,Jalapeño peppers,2,4.29,8.58
2025-03-29,Smörgås crispbread,1,8.32,8.32
2025-03-29,"Oat milk, barista",1,1.93,1.93
2025-03-29,"Sourdough, seeded",3,12.04,36.12
2025-03-30,Za’atar,3,2.85,8.55
2025-03-30,"Café beans, whole",3,1.73,5.19
2025-03-30,"Café beans, whole",3,1,3
2025-03-30,"Café beans, whole",4,5.33,21.32
2025-04-01,"Café beans, whole",4,6.92,27.68
2025-04-01,Za’atar,1,12.17,12.17
2025-04-01,Jalapeño peppers,1,5.62,5.62
2025-04-01,Crème fraîche,2,6.84,13.68
2025-04-01,"Oat milk, barista",1,12.09,12.09
2025-04-02,"Gruyère, aged",3,11.48,34.44
2025-04-02,Za’atar,3,8.45,25.35
2025-04-02,"Oat milk, barista",2,9.12,18.24
2025-04-02,Chèvre,3,9.66,28.98
2025-04-03,Crème fraîche,4,12.22,48.88
2025-04-03,"Sourdough, seeded",1,2.39,2.39
2025-04-03,"Sourdough, seeded",1,6.1,6.1
2025-04-06,Açaí pulp,1,7.85,7.85
2025-04-10,Smörgås crispbread,4,2.31,9.24
2025-04-10,Jalapeño peppers,1,2.59,2.59
2025-04-10,Jalapeño peppers,2,7.93,15.86
2025-04-10,"Oat milk, barista",4,4.52,18.08
2025-04-10,"Sourdough, seeded",3,6.03,18.09
2025-04-12,Smörgås crispbread,3,1.95,5.85
2025-04-12,Za’atar,4,5.01,20.04
2025-04-12,Crème fraîche,2,5.57,11.14
2025-04-12,Açaí pulp,4,12.47,49.88
2025-04-12,Chèvre,1,1.02,1.02
2025-04-13,"Oat milk, barista",1,3.46,3.46
2025-04-13,"Café beans, whole",4,1.82,7.28
2025-04-13,Jalapeño peppers,1,0.9,0.9
2025-04-13,Jalapeño peppers,4,6.66,26.64
2025-04-13,Jalapeño peppers,4,8.53,34.12
2025-04-15,"Gruyère, aged",3,10.81,32.43
2025-04-15,"Gruyère, aged",2,4.44,8.88
2025-04-15,"Sourdough, seeded",2,3.69,7.38
2025-04-15,"Gruyère, aged",1,5.99,5.99
2025-04-15,"Gruyère, aged",2,5.81,11.62
2025-04-17,"Gruyère, aged",1,11.47,11.47
2025-04-18,"Café beans, whole",1,11.52,11.52
2025-04-18,"Oat milk, barista",4,7.27,29.08
2025-04-18,Smörgås crispbread,4,10.31,41.24
2025-04-18,Crème fraîche,2,6.41,12.82
2025-04-18,Crème fraîche,3,10.94,32.82
2025-04-20,Chèvre,1,3.85,3.85
2025-04-24,Açaí pulp,4,4.68,18.72
2025-04-24,"Oat milk, barista",4,5.3,21.2
2025-04-30,"Café beans, whole",1,3.03,3.03
2025-04-30,"Gruyère, aged",2,1.79,3.58
2025-04-30,Jalapeño peppers,1,10.66,10.66
2025-04-30,Açaí pulp,4,9.65,38.6
2025-04-30,Açaí pulp,1,7.72,7.72
