day,steps,floors
2025-05-26,10141,18
2025-05-27,1272,25
2025-05-28,12811,11
2025-05-29,1633,24
2025-05-30,2505,11
2025-05-31,10597,3
2025-06-01,8687,15
2025-06-02,15501,25
2025-06-03,11760,22
2025-06-04,2253,27
2025-06-05,4814,0
2025-06-06,20057,9
2025-06-07,20814,1
2025-06-08,15096,2
2025-06-09,17289,10
2025-06-10,2049,17
2025-06-11,12193,2
2025-06-12,19518,14
2025-06-13,17345,26
2025-06-14,6980,25
2025-06-15,20435,13
2025-06-16,16940,4
2025-06-17,3147,2
2025-06-18,8256,18
2025-06-19,6117,23
2025-06-20,17737,10
2025-06-21,17877,7
2025-06-22,15297,15
2025-06-23,17380,15
2025-06-24,11115,8
2025-06-25,2455,0
2025-06-26,2637,15
2025-06-27,10090,16
2025-06-28,13255,23
2025-06-29,17706,5
2025-06-30,6252,11
2025-07-01,15150,2
2025-07-02,1447,27
2025-07-03,9020,23
2025-07-04,6260,11
2025-07-05,14574,13
2025-07-06,16710,16
2025-07-07,1877,12
2025-07-08,7975,4
2025-07-09,13757,7
2025-07-10,13268,9
2025-07-11,9737,28
2025-07-12,19772,27
2025-07-13,12487,11
2025-07-14,6179,2
2025-07-15,13764,22
2025-07-16,7553,11
2025-07-17,4002,11
2025-07-18,9949,19
2025-07-19,6680,13
2025-07-20,3471,5
2025-07-21,14487,2
2025-07-22,15588,13
2025-07-23,3229,14
2025-07-24,20081,0
2025-07-25,13711,22
2025-07-26,11184,4
2025-07-27,11461,27
2025-07-28,10772,5
2025-07-29,14112,2
2025-07-30,9441,21
2025-07-31,20976,3
2025-08-01,2825,18
2025-08-02,8391,7
2025-08-03,5662,6
2025-08-04,9870,6
2025-08-05,8244,12
2025-08-06,12273,16
2025-08-07,6127,26
2025-08-08,14801,11
2025-08-09,6641,1
2025-08-10,18635,26
2025-08-11,3976,18
2025-08-12,10416,14
2025-08-13,8246,16
2025-08-14,17159,25
2025-08-15,20526,19
2025-08-16,13230,10
2025-08-17,5332,27
2025-08-18,13689,3
2025-08-19,6097,9
2025-08-20,13621,27
2025-08-21,2104,24
2025-08-22,19637,17
2025-08-23,10554,1
2025-08-24,20251,25
2025-08-25,15399,1
2025-08-26,16700,18
2025-08-27,7154,11
2025-08-28,15336,6
2025-08-29,7760,20
2025-08-30,15854,17
2025-08-31,19268,14
2025-09-01,14166,15
2025-09-02,6950,13
2025-09-03,7882,18
2025-09-04,16242,23
2025-09-05,3186,6
2025-09-06,17169,6
2025-09-07,11589,14
2025-09-08,10804,16
2025-09-09,13690,2
2025-09-10,10334,16
2025-09-11,14585,8
2025-09-12,12235,26
2025-09-13,14468,13
2025-09-14,11544,8
2025-09-15,4881,12
2025-09-16,10665,8
2025-09-17,16621,23
2025-09-18,2415,3
2025-09-19,16447,3
2025-09-20,4342,16
2025-09-21,13879,3
2025-09-22,17259,13
2025-09-23,20138,10
2025-09-24,2884,27
2025-09-25,20053,1
2025-09-26,7048,19
2025-09-27,18916,20
2025-09-28,8856,10
2025-09-29,15336,12
2025-09-30,19717,11
2025-10-01,2841,2
2025-10-02,14206,24
2025-10-03,9224,23
2025-10-04,4943,21
2025-10-05,16254,15
2025-10-06,6143,26
2025-10-07,15177,15
2025-10-08,18201,0
2025-10-09,3232,6
2025-10-10,17395,3
2025-10-11,2516,21
2025-10-12,16819,5
2025-10-13,14618,9
2025-10-14,13716,4
2025-10-15,10720,28
2025-10-16,17366,22
2025-10-17,1471,10
2025-10-18,1848,28
2025-10-19,18962,20
2025-10-20,6346,12
2025-10-21,3478,11
2025-10-22,12917,4
2025-10-23,7090,25
2025-10-24,7721,1
2025-10-25,9104,9
2025-10-26,4183,11
2025-10-27,13541,17
2025-10-28,20535,4
2025-10-29,15147,28
2025-10-30,5826,1
2025-10-31,20877,15
2025-11-01,18663,26
2025-11-02,9674,21
2025-11-03,5095,13
2025-11-04,9290,12
2025-11-05,8555,8
2025-11-06,16382,15
2025-11-07,19554,27
2025-11-08,14268,22
2025-11-09,10063,21
2025-11-10,4914,14
2025-11-11,18152,7
2025-11-12,20854,16
2025-11-13,9459,16
2025-11-14,11762,24
2025-11-15,10510,26
2025-11-16,5204,19
2025-11-17,2283,5
2025-11-18,17134,21
2025-11-19,8036,5
2025-11-20,10551,12
2025-11-21,3235,17
2025-11-22,10054,28
2025-11-23,10183,0
2025-11-24,1435,21
2025-11-25,13309,9
2025-11-26,9413,10
2025-11-27,12028,16
2025-11-28,8532,28
2025-11-29,17037,0
2025-11-30,11004,11
2025-12-01,6701,22
2025-12-02,10914,8
2025-12-03,4693,26
2025-12-04,3742,12
2025-12-05,15893,17
2025-12-06,2120,13
2025-12-07,3672,10
2025-12-08,11766,2
2025-12-09,9684,22
2025-12-10,18791,5
2025-12-11,1909,18
2025-12-12,18786,16
2025-12-13,8712,17
2025-12-14,20968,21
2025-12-15,15539,8
2025-12-16,11637,25
2025-12-17,5405,9
2025-12-18,14439,28
2025-12-19,8365,17
2025-12-20,17419,14
2025-12-21,14950,10
2025-12-22,3387,17
2025-12-23,17153,26
2025-12-24,19888,7
2025-12-25,14240,3
2025-12-26,7767,2
2025-12-27,4504,22
2025-12-28,2652,13
2025-12-29,11353,16
2025-12-30,5976,14
2025-12-31,7740,8
